Date and time	IR	RED	Glucose  mg/dL
6/28/2026 3:34:14	98540	81531	132.08375
6/28/2026 3:34:17	117982	96912	152.99
6/28/2026 3:34:20	117571	96512	167.21
6/28/2026 3:34:23	117601	96490	167.21
6/28/2026 3:37:06	71197	72127	177.9
6/28/2026 3:37:10	114702	97047	202.34
6/28/2026 3:37:14	114606	96636	187.13
6/28/2026 3:37:17	115334	96711	118.74
6/28/2026 3:37:20	115172	96540	118.74
6/28/2026 3:41:47	115381	98171	122.01
6/28/2026 3:49:17	23.75		
6/28/2026	108160	90881	114.86
6/28/2026	108398	90855	118.74
6/28/2026	108356	90817	118.74
6/28/2026	108119	90617	118.74
6/28/2026	122065	102363	118.74
6/28/2026	115418	97287	187.13
6/28/2026	116265	97563	113.59
6/28/2026	116012	97161	114.57
6/28/2026	115946	96891	178.73
6/28/2026	115684	96493	353.67
6/28/2026	115434	96218	353.11
6/28/2026	115581	96167	356.59
6/28/2026	115416	96002	356.59
6/28/2026	115508	95864	137.53
6/28/2026	115467	95767	118.69
6/28/2026	115168	95456	114.86
6/28/2026	115115	95317	115.31
6/28/2026	115198	95368	134.20375
6/28/2026	114927	95113	136.26375
6/28/2026	114647	94842	132.08375
6/28/2026	114334	94558	132.08375
6/28/2026	114562	94708	138.86375
6/28/2026	114805	94851	138.86375
6/28/2026	114906	94892	116.78375
2026-06-28 1:40:30	95670	17791	256.186
6/28/2026	113840	103274	212.4
6/28/2026	115071	105289	265.19
6/28/2026	113406	103754	212.37
6/28/2026	113697	103458	89.93
6/28/2026	114925	99184	198.09
6/28/2026	114690	98950	198.09
6/28/2026	115640	98928	119.7216667
6/28/2026	115092	98451	118.8516667
6/28/2026	113863	98138	164.78
6/28/2026	114712	97851	98.17
6/28/2026	113259	97205	99.673
6/28/2026	112824	96835	99.673
6/28/2026	112628	96414	116.873
6/28/2026	113437	96393	130.44
6/28/2026	113105	96047	134.44
6/28/2026	112651	95658	134.44
6/28/2026	113110	95694	202.49
6/28/2026	104448	89966	125
6/28/2026	104981	89303	121.47
6/28/2026	106032	91410	180.76
6/28/2026	108180	92448	118.3016667
6/28/2026	113335	100452	114.5430079
6/28/2026	116644	101379	158.1871429
6/28/2026	115724	101147	113.77
6/27/2026 23:04:47	118929	98049	174.4366893
6/27/2026 23:04:50	118799	97558	178.2903893
6/27/2026 23:04:53	119221	97261	182.0853893
6/27/2026 23:04:55	120489	97719	193.810675
6/27/2026 23:04:59	120300	97309	211.387375
6/27/2026 23:05:02	119765	97176	226.394375
6/27/2026 23:05:05	119193	97197	229.763375
6/27/2026 23:05:08	117349	96860	233.295375
6/27/2026 23:05:10	115955	96542	233.386375
6/27/2026 23:05:13	95670	17791	256.186
6/28/2026	114602	99147	199.17
6/28/2026	114000	105784	85.954
6/28/2026	114161	104900	93.43
6/28/2026	112489	103539	96.18833333
6/28/2026	74570	80587	92.65666667
6/28/2026	113565	98404	197.6328571
6/28/2026	112204	97292	272.78
6/28/2026	110574	94953	99.673
6/28/2026	109058	94178	198.33
6/28/2026	110306	94155	97.87
6/28/2026	110809	94127	134.44
6/28/2026	109735	93578	98.17
6/28/2026	109200	93338	118.3016667
6/28/2026	57153	61080	93.661
6/28/2026	107659	93552	158.1871429
6/28/2026	109053	93661	99.673
6/28/2026	112951	104752	84.964
6/28/2026	120402	108727	183.8
6/28/2026	119714	107994	141.9
6/28/2026	122053	108546	90.51919048
6/28/2026	113573	100687	114.5430079
6/28/2026	117633	102094	268.14
6/28/2026	117127	101545	252.9
6/28/2026	116520	101155	158.1871429
6/28/2026	117986	101559	110.343
6/28/2026	117513	101174	114.453
6/28/2026	117200	100995	163.58
6/28/2026	116724	100681	198.09
6/28/2026	113710	103507	96.0075
6/28/2026	114804	102898	134.1625
6/28/2026	117910	103906	159.857619
6/28/2026	119436	98291	240.99
6/28/2026	112762	95783	134.44
6/28/2026	115258	95469	117.83
6/28/2026	61929	80029	99.34166667
6/28/2026	118236	101022	131.0216667
6/28/2026	118331	100847	104.14
6/28/2026	117968	100748	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
